"Vcenter_Name","Vcenter_Version(Current)","Build","Version","Release name","Release Date","VAMI/Release Notes","Client/MOB/vpxd.log","Current Patch Level","Compliance_status","Target"
"tsg-vcsa.tsglab.com","6.7.0","8833179","6.7.0.12000","vCenter Appliance 6.7b","6/28/2018 12:00:00 AM","8832884","8833179","N-31","Non-Compliant","1.vCenter Server 6.7 Update 3u<br>2. vCenter Server 8.0 Update 3b<br>3. vCenter Server 7.0 Update 3s"
"tsg-vcsa.tsglab.com","6.7.0","8833179","6.7.0.12000","vCenter Appliance 6.7b","6/28/2018 12:00:00 AM","8832884","8833179","N-31","Non-Compliant","1.vCenter Server 6.7 Update 3u<br>2. vCenter Server 8.0 Update 3b<br>3. vCenter Server 7.0 Update 3s"
